,Borough,2010 Census Tract Number:,Total Low-Income Units:
0,BRONX,221.01,132.0
1,BRONX,89.0,18.0
2,BRONX,52.0,17.0
3,BRONX,117.0,143.0
4,BRONX,241.0,61.0
5,BRONX,235.02,50.0
6,BRONX,161.0,79.0
7,BRONX,173.0,99.0
8,BRONX,383.01,161.0
9,BRONX,183.02,25.0
10,BRONX,189.0,24.0
11,BRONX,181.01,41.0
12,BRONX,245.02,80.0
13,BRONX,77.0,44.0
14,BRONX,83.0,53.0
15,BRONX,383.01,73.0
16,BRONX,177.01,33.0
17,BRONX,83.0,17.0
18,BRONX,135.0,42.0
19,BRONX,87.0,58.0
20,BRONX,221.01,24.0
21,BRONX,393.0,41.0
22,BRONX,221.02,44.0
23,BRONX,60.0,58.0
24,BRONX,121.01,110.0
25,BRONX,227.01,78.0
26,BRONX,229.01,20.0
27,BRONX,73.0,24.0
28,BRONX,67.0,45.0
29,BRONX,193.0,57.0
30,BRONX,215.02,16.0
31,BRONX,221.01,73.0
32,BRONX,161.0,71.0
33,BRONX,151.0,52.0
34,BRONX,369.01,38.0
35,BRONX,185.0,67.0
36,BRONX,79.0,61.0
37,BRONX,245.01,25.0
38,BRONX,153.0,45.0
39,BRONX,67.0,51.0
40,BRONX,369.02,34.0
41,BRONX,77.0,13.0
42,BRONX,155.0,51.0
43,BRONX,241.0,39.0
44,BRONX,83.0,21.0
45,BRONX,157.0,59.0
46,BRONX,181.02,85.0
47,BRONX,215.02,76.0
48,BRONX,65.0,20.0
49,BRONX,183.02,26.0
50,BRONX,131.0,68.0
51,BRONX,185.0,41.0
52,BRONX,169.0,12.0
53,BRONX,157.0,64.0
54,BRONX,65.0,40.0
55,BRONX,157.0,24.0
56,BRONX,185.0,89.0
57,BRONX,205.02,17.0
58,BRONX,151.0,53.0
59,BRONX,129.01,68.0
60,BRONX,239.0,83.0
61,BRONX,233.02,33.0
62,BRONX,385.0,19.0
63,BRONX,379.0,66.0
64,BRONX,,67.0
65,BRONX,237.02,70.0
66,BRONX,173.0,16.0
67,BRONX,193.0,25.0
68,BRONX,185.0,18.0
69,BRONX,217.0,39.0
70,BRONX,373.0,62.0
71,BRONX,,34.0
72,BRONX,213.02,43.0
73,BRONX,65.0,35.0
74,BRONX,442.0,55.0
75,BRONX,217.0,79.0
76,BRONX,151.0,14.0
77,BRONX,213.02,28.0
78,BRONX,167.0,18.0
79,BRONX,75.0,79.0
80,BRONX,237.03,87.0
81,BRONX,197.0,131.0
82,BRONX,39.0,24.0
83,BRONX,151.0,44.0
84,BRONX,373.0,71.0
85,BRONX,151.0,29.0
86,BRONX,391.0,55.0
87,BRONX,363.0,63.0
88,BRONX,365.02,123.0
89,BRONX,115.02,9.0
90,BRONX,115.02,16.0
91,BRONX,93.0,4.0
