,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2012 Inflation Adjusted Dollars),Per capita income (In 2012 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
0,"Census Tract 1, New York city (part), Bronx borough, Bronx County, New York",15974.2,9741.0,1421.0,5706.0,202.0,2205.0,4285.0,127.0,,"$4,484",,0.0,,,,0.0,0.0,1545.0,6215.0,0.0,0.0,2012
1,Unnamed: 2,,,0.146,0.586,0.021,0.226,0.69,0.02,,,,,,,,,,0.159,,,,2012
2,"Census Tract 2, New York city (part), Bronx borough, Bronx County, New York",26928.2,4734.0,837.0,1508.0,274.0,2021.0,569.0,560.0,"$71,250","$22,846",0.36,1303.0,1950.0,"$422,200","$1,339",1262.0,3445.0,1211.0,2796.0,1460.0,4707.0,2012
3,Unnamed: 4,,,0.177,0.319,0.057999999999999996,0.42700000000000005,0.204,0.2,,,,0.893,,,,0.268,0.732,0.256,,,,2012
4,"Census Tract 4, New York city (part), Bronx borough, Bronx County, New York",14792.3,5211.0,948.0,1583.0,114.0,2471.0,593.0,978.0,"$75,833","$31,412",0.39,1682.0,1987.0,"$355,300","$1,569",1139.0,4064.0,1219.0,3506.0,1849.0,5203.0,2012
5,Unnamed: 6,,,0.182,0.304,0.022000000000000002,0.474,0.16899999999999998,0.27899999999999997,,,,0.91,,,,0.21899999999999997,0.7809999999999999,0.23399999999999999,,,,2012
6,"Census Tract 16, New York city (part), Bronx borough, Bronx County, New York",27374.7,5127.0,922.0,1901.0,0.0,2189.0,1024.0,433.0,"$32,328","$18,575",0.47,1940.0,1969.0,"$413,800",$856,2203.0,2677.0,1437.0,3381.0,2063.0,4880.0,2012
7,Unnamed: 8,,,0.18,0.371,0.0,0.42700000000000005,0.303,0.128,,,,0.94,,,,0.451,0.5489999999999999,0.28,,,,2012
8,"Census Tract 19, New York city (part), Bronx borough, Bronx County, New York",3813.3,2420.0,1060.0,742.0,26.0,527.0,422.0,190.0,"$29,491","$14,656",0.46,745.0,1970.0,"$335,500","$1,152",1626.0,748.0,700.0,1449.0,805.0,2374.0,2012
9,Unnamed: 10,,,0.43799999999999994,0.307,0.011000000000000001,0.218,0.29100000000000004,0.131,,,,0.9259999999999999,,,,0.685,0.315,0.289,,,,2012
