,Statistics,Population Density (Per Sq. Mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's Degree or More,Median Household Income (In 2015 Inflation Adjusted Dollars),Per Capita Income (In 2015 Inflation Adjusted Dollars),Gini Index,Occupied,Median Year Structure Built,Median Value,Median Gross Rent,Under 2.00 (Poor or Struggling),2.00 and Over (Doing Ok),Foreign Born:,Population 25 Years and Over:,Housing Units:,Population for Whom Poverty Status Is Determined:,year
0,"Census Tract 1, Bronx County, New York",12632.1,7703.0,763.0,4846.0,122.0,1855.0,3405.0,67.0,,"$2,440",,0.0,,,,0.0,0.0,1157.0,5276.0,0.0,0.0,2015
1,Unnamed: 2,,,0.099,0.629,0.016,0.24100000000000002,0.645,0.013000000000000001,,,,,,,,,,0.15,,,,2015
2,"Census Tract 2, Bronx County, New York",30733.7,5403.0,2303.0,1127.0,226.0,1496.0,832.0,559.0,"$72,034","$22,180",0.39,1379.0,1958.0,"$414,600","$1,358",1844.0,3539.0,1829.0,3553.0,1492.0,5383.0,2015
3,Unnamed: 4,,,0.426,0.209,0.042,0.27699999999999997,0.23399999999999999,0.157,,,,0.924,,,,0.34299999999999997,0.657,0.33899999999999997,,,,2015
4,"Census Tract 4, Bronx County, New York",16790.8,5915.0,2081.0,2112.0,38.0,1567.0,674.0,938.0,"$74,836","$27,700",0.36,1921.0,1993.0,"$347,200","$1,448",1536.0,4364.0,1292.0,4045.0,2129.0,5900.0,2015
5,Unnamed: 6,,,0.35200000000000004,0.35700000000000004,0.006,0.265,0.16699999999999998,0.23199999999999998,,,,0.902,,,,0.26,0.74,0.218,,,,2015
6,"Census Tract 16, Bronx County, New York",31389.8,5879.0,2291.0,2199.0,0.0,1307.0,1098.0,489.0,"$32,312","$17,526",0.5,1964.0,1973.0,"$390,100",$950,3278.0,2349.0,2294.0,3676.0,2046.0,5627.0,2015
7,Unnamed: 8,,,0.39,0.374,0.0,0.222,0.299,0.133,,,,0.96,,,,0.583,0.418,0.39,,,,2015
8,"Census Tract 19, Bronx County, New York",4082.8,2591.0,494.0,890.0,55.0,1024.0,415.0,340.0,"$37,936","$17,986",0.43,901.0,1968.0,"$347,100","$1,140",1458.0,1059.0,631.0,1704.0,947.0,2517.0,2015
9,Unnamed: 10,,,0.191,0.344,0.021,0.395,0.244,0.2,,,,0.951,,,,0.579,0.42100000000000004,0.244,,,,2015
10,"Census Tract 20, Bronx County, New York",55758.9,8516.0,2628.0,3497.0,278.0,1512.0,1848.0,501.0,"$18,086","$12,023",0.53,2953.0,1954.0,"$377,800",$664,6413.0,2088.0,2199.0,5305.0,3170.0,8501.0,2015
11,Unnamed: 12,,,0.309,0.41100000000000003,0.033,0.17800000000000002,0.348,0.094,,,,0.932,,,,0.754,0.24600000000000002,0.258,,,,2015
12,"Census Tract 23, Bronx County, New York",118296.7,4774.0,866.0,1981.0,0.0,1710.0,1260.0,119.0,"$14,479","$9,781",0.49,1937.0,1957.0,,$405,4043.0,702.0,815.0,2720.0,2004.0,4745.0,2015
13,Unnamed: 14,,,0.18100000000000002,0.415,0.0,0.358,0.46299999999999997,0.044000000000000004,,,,0.9670000000000001,,,,0.852,0.14800000000000002,0.171,,,,2015
14,"Census Tract 24, Bronx County, New York",575.0,150.0,78.0,72.0,0.0,0.0,0.0,72.0,,"$49,365",,30.0,,,,0.0,150.0,72.0,113.0,30.0,150.0,2015
15,Unnamed: 16,,,0.52,0.48,0.0,0.0,0.0,0.637,,,,1.0,,,,0.0,1.0,0.48,,,,2015
