,ct_index,Population_density,Total_pop,perc_white,perc_black,perc_asian,perc_hispanic,high_school_below,bachelor_up,Median_hhs_Income,Per_Capita_Income,Gini_Index,Occupied_rate,Median_Value,Median_Rent,inc_to_poverty_under2,inc_to_poverty_above2,Foreign_born,year,GEO.id2,Total_Housing_unit,n_ct,Total Low-Income Units:,perc_pc,perc_pc_,building_age,entropy_index
0,"Census Tract 2, Bronx County, New York",30733.7,5403.0,0.42624467888210255,0.20858782158060335,7.889037180864382e-05,0.27688321302979824,0.23416830847171405,0.15733183225443287,"$72,034","$22,180",0.39,0.9242627345844504,"$414,600","$1,358",0.34255991083039194,0.6574400891696079,0.3385156394595595,2015,36005000200,1492,2.0,0.0,0.0,0.0,59.0,1.0467236747016577
1,"Census Tract 2, Bronx County, New York",28981.7,5095.0,0.3152109911678116,0.2792934249263984,6.186673035678344e-05,0.30186457311089304,0.2481470501037652,0.14675363178179662,"$74,837","$22,971",0.4,0.9349152542372882,"$410,400","$1,282",0.3140153755174453,0.6859846244825547,0.3059862610402355,2014,36005000200,1492,2.0,0.0,0.0,0.0,57.0,1.0823177317544703
2,"Census Tract 2, Bronx County, New York",27633.6,4858.0,0.2783038287361054,0.3095924248662001,5.72877374919937e-05,0.3371757925072046,0.22074122236671,0.16775032509752927,"$69,514","$22,665",0.39,0.9126016260162602,"$418,100","$1,264",0.3112582781456953,0.6887417218543046,0.30053519967064635,2013,36005000200,1492,2.0,0.0,0.0,0.0,64.0,1.0860794324906233
3,"Census Tract 2, Bronx County, New York",24379.9,4286.0,0.1451236584227718,0.309146056929538,3.385992963667098e-05,0.4874008399440037,0.20289272800321412,0.14262756126958614,"$59,826","$21,192",0.36,0.8944827586206896,"$392,500","$1,273",0.2969115582592419,0.703088441740758,0.2375174988334111,2010,36005000200,1492,2.0,0.0,0.0,0.0,69.0,0.9936606837814023
4,"Census Tract 2, Bronx County, New York",24460.3,4257.0,0.13718581160441626,0.27084801503406153,3.2225936482127384e-05,0.5677707305614282,0.19950433705080545,0.11730689797604295,"$55,797","$19,138",0.35,0.8812589413447782,"$380,300","$1,328",0.27743758831841736,0.7225624116815826,0.21987315010570824,2009,36005000200,1492,2.0,0.0,0.0,0.0,70.0,0.9480023634213823
5,"Census Tract 4, Bronx County, New York",16790.8,5915.0,0.3518174133558749,0.3570583262890955,5.9478852638355857e-05,0.2649196956889265,0.16662546353522867,0.2318912237330037,"$74,836","$27,700",0.36,0.9023015500234852,"$347,200","$1,448",0.26033898305084746,0.7396610169491525,0.2184277261200338,2015,36005000400,2129,4.0,0.0,0.0,0.0,24.0,1.0877214009132454
6,"Census Tract 4, Bronx County, New York",15817.1,5572.0,0.3004307250538406,0.3582196697774587,5.391793342674813e-05,0.3230437903804738,0.14736842105263154,0.2839473684210526,"$77,991","$29,803",0.37,0.911779448621554,"$354,100","$1,491",0.2566546762589928,0.7433453237410071,0.21302943287867912,2014,36005000400,2129,4.0,0.0,0.0,0.0,26.0,1.0945897387202965
7,"Census Tract 4, Bronx County, New York",15169.9,5344.0,0.250561377245509,0.2934131736526946,4.688648526300692e-05,0.4186002994011976,0.16727069974909395,0.2400334541399498,"$73,036","$28,513",0.37,0.9168410041841004,"$356,800","$1,413",0.2688555347091933,0.7311444652908068,0.2107035928143713,2013,36005000400,2129,4.0,0.0,0.0,0.0,29.0,1.0715659968691844
8,"Census Tract 4, Bronx County, New York",13889.6,4893.0,0.11465358675659106,0.23073778867770284,2.3432165697239124e-05,0.5820559983650112,0.19140127388535036,0.2570063694267516,"$71,968","$27,777",0.39,0.9433148490449784,"$393,700","$1,330",0.2367934224049332,0.7632065775950668,0.190680564071122,2010,36005000400,2129,4.0,0.0,0.0,0.0,39.0,0.9019440368744105
9,"Census Tract 4, Bronx County, New York",16518.5,4625.0,0.1589189189189189,0.1824864864864865,3.4360847333820306e-05,0.5807567567567568,0.21756620851491787,0.2353335568219913,"$70,486","$25,991",0.38,0.9210884353741496,"$373,000","$1,430",0.2347049858480296,0.7652950141519704,0.19394594594594594,2009,36005000400,2129,4.0,0.0,0.0,0.0,44.0,0.9186831625236694
10,"Census Tract 16, Bronx County, New York",31389.8,5879.0,0.3896921245109712,0.3740432046266372,6.628544386987093e-05,0.2223167205307025,0.2986942328618063,0.13302502720348205,"$32,312","$17,526",0.5,0.959921798631476,"$390,100",$950,0.5825484272258753,0.4174515727741248,0.3902024153767648,2015,36005001600,2046,16.0,0.0,0.0,0.0,44.0,1.0699980809449103
11,"Census Tract 16, Bronx County, New York",28896.4,5412.0,0.3427568366592757,0.3337028824833703,6.333274882839538e-05,0.30672579453067256,0.3297662630245001,0.14418473669388904,"$32,354","$18,544",0.49,0.9381746810598626,"$418,300",$920,0.5116324156649864,0.4883675843350136,0.3102365114560237,2014,36005001600,2046,16.0,0.0,0.0,0.0,44.0,1.0963428654967249
