,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2013 Inflation Adjusted Dollars),Per capita income (In 2013 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
0,"Census Tract 1, Bronx County, New York",15072.3,9191.0,1361.0,5388.0,202.0,2080.0,3921.0,130.0,,"$4,045",,0.0,,,,0.0,0.0,1592.0,5939.0,0.0,0.0,2013
1,Unnamed: 2,,,0.14800000000000002,0.586,0.022000000000000002,0.226,0.66,0.022000000000000002,,,,,,,,,,0.17300000000000001,,,,2013
2,"Census Tract 2, Bronx County, New York",27633.6,4858.0,1352.0,1504.0,259.0,1638.0,679.0,516.0,"$69,514","$22,665",0.39,1347.0,1953.0,"$418,100","$1,264",1504.0,3328.0,1460.0,3076.0,1476.0,4832.0,2013
3,Unnamed: 4,,,0.278,0.31,0.053,0.337,0.221,0.168,,,,0.9129999999999999,,,,0.311,0.6890000000000001,0.301,,,,2013
4,"Census Tract 4, Bronx County, New York",15169.9,5344.0,1339.0,1568.0,116.0,2237.0,600.0,861.0,"$73,036","$28,513",0.37,1753.0,1988.0,"$356,800","$1,413",1433.0,3897.0,1126.0,3587.0,1912.0,5330.0,2013
5,Unnamed: 6,,,0.251,0.293,0.022000000000000002,0.419,0.16699999999999998,0.24,,,,0.917,,,,0.26899999999999996,0.731,0.21100000000000002,,,,2013
6,"Census Tract 16, Bronx County, New York",27844.5,5215.0,1535.0,1717.0,0.0,1848.0,1064.0,404.0,"$30,817","$17,391",0.48,1945.0,1972.0,"$410,300",$863,2672.0,2300.0,1644.0,3385.0,2043.0,4972.0,2013
7,Unnamed: 8,,,0.294,0.32899999999999996,0.0,0.354,0.314,0.11900000000000001,,,,0.9520000000000001,,,,0.537,0.46299999999999997,0.315,,,,2013
8,"Census Tract 19, Bronx County, New York",4037.1,2562.0,995.0,654.0,34.0,821.0,459.0,277.0,"$33,862","$15,362",0.46,831.0,1967.0,"$348,600","$1,092",1636.0,872.0,774.0,1559.0,891.0,2508.0,2013
9,Unnamed: 10,,,0.38799999999999996,0.255,0.013000000000000001,0.321,0.294,0.17800000000000002,,,,0.9329999999999999,,,,0.652,0.348,0.302,,,,2013
10,"Census Tract 20, Bronx County, New York",55366.1,8456.0,1610.0,3331.0,197.0,2894.0,1739.0,657.0,"$19,150","$13,500",0.52,2980.0,1957.0,"$371,900",$472,5974.0,2437.0,1707.0,5070.0,3161.0,8411.0,2013
11,Unnamed: 12,,,0.19,0.39399999999999996,0.023,0.342,0.34299999999999997,0.13,,,,0.943,,,,0.71,0.29,0.20199999999999999,,,,2013
12,"Census Tract 23, Bronx County, New York",115769.2,4672.0,1384.0,2024.0,0.0,1124.0,1344.0,134.0,"$13,902","$9,894",0.49,1835.0,1962.0,,$350,3956.0,685.0,824.0,2849.0,1933.0,4641.0,2013
13,Unnamed: 14,,,0.29600000000000004,0.433,0.0,0.24100000000000002,0.47200000000000003,0.047,,,,0.9490000000000001,,,,0.852,0.14800000000000002,0.17600000000000002,,,,2013
14,"Census Tract 24, Bronx County, New York",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2013
15,Unnamed: 16,,,,,,,,,,,,,,,,,,,,,,2013
16,"Census Tract 25, Bronx County, New York",103665.3,5108.0,1821.0,1104.0,286.0,1740.0,1406.0,141.0,"$14,628","$10,236",0.5,1814.0,1952.0,,$594,3998.0,1097.0,1754.0,2820.0,2063.0,5095.0,2013
17,Unnamed: 18,,,0.35700000000000004,0.21600000000000003,0.055999999999999994,0.341,0.499,0.05,,,,0.879,,,,0.785,0.215,0.34299999999999997,,,,2013
18,"Census Tract 27.01, Bronx County, New York",98814.6,3172.0,927.0,1482.0,0.0,691.0,801.0,210.0,"$26,094","$14,677",0.51,1059.0,1955.0,,$630,2226.0,946.0,707.0,1801.0,1105.0,3172.0,2013
19,Unnamed: 20,,,0.292,0.467,0.0,0.218,0.445,0.11699999999999999,,,,0.958,,,,0.7020000000000001,0.298,0.223,,,,2013
20,"Census Tract 27.02, Bronx County, New York",77733.4,4723.0,1278.0,1777.0,0.0,1497.0,1190.0,149.0,"$19,237","$8,216",0.43,1380.0,1971.0,,$943,3611.0,911.0,1408.0,2431.0,1465.0,4522.0,2013
21,Unnamed: 22,,,0.271,0.376,0.0,0.317,0.49,0.061,,,,0.9420000000000001,,,,0.799,0.20199999999999999,0.298,,,,2013
22,"Census Tract 28, Bronx County, New York",36007.6,5804.0,276.0,4050.0,27.0,1193.0,557.0,783.0,"$48,717","$25,148",0.39,2340.0,1964.0,"$266,100",$937,1607.0,4194.0,1017.0,4136.0,2427.0,5801.0,2013
23,Unnamed: 24,,,0.048,0.698,0.005,0.20600000000000002,0.135,0.18899999999999997,,,,0.9640000000000001,,,,0.27699999999999997,0.723,0.175,,,,2013
24,"Census Tract 31, Bronx County, New York",21078.9,1272.0,287.0,588.0,21.0,374.0,284.0,122.0,"$28,047","$13,987",0.41,478.0,1952.0,"$52,900","$1,020",905.0,367.0,473.0,740.0,531.0,1272.0,2013
