,Fl_ft2,LotArea,NumFloors,norm_gas,BuiltFAR,incomePC,ENERGY STAR Score,eui,log_eui,ZIPCODE,d_ghg,id_ghg,norm_elct,age,log_fl_ft2,log_LotArea,log_norm_gas,predicted_eui,diff_eui
0,98052.0,18375,11.0,55261.4,5.34,21.31282395110756,87.0,73.7,1.867467487859052,10002,290.2,146.1,5.3,35,11.493253229172709,9.818746324081037,10.919829932937523,81.16955575639881,57.469555756398805
3,60417.0,16665,5.0,53110.6,3.63,21.31282395110756,63.0,108.7,2.0362295440862948,10002,282.1,138.0,7.3,84,11.009025801274971,9.72106599074184,10.880131810660107,104.58699282304067,45.88699282304067
4,627895.0,113690,26.0,425345.9,5.52,21.31282395110756,49.0,82.2,1.9148718175400503,10002,2195.5,872.0,4.9,38,13.350128234019055,11.641230725123153,12.96065799923685,92.27411044119359,60.07411044119358
5,260000.0,49116,21.0,145623.9,5.29,21.31282395110756,52.0,87.1,1.9400181550076632,10002,880.9,556.0,7.4,22,12.468436909997665,10.801940126280403,11.888782549625505,89.56397435418576,52.463974354185765
6,83904.0,20095,10.0,86468.8,4.18,21.31282395110756,22.0,121.7,2.085290578230065,10002,453.1,139.1,5.9,30,11.337428567123371,9.908226306883302,11.367538934212755,89.56639551692574,17.866395516925735
12,101579.0,27250,6.0,17655.8,3.73,21.31282395110756,89.0,28.1,1.4487063199050798,10002,94.8,156.5,4.2,4,11.528592099849208,10.21280880009139,9.778819620278396,64.13775959323146,86.03775959323147
13,67181.0,11160,11.0,55355.1,6.71,21.31282395110756,15.0,114.6,2.0591846176313706,10002,287.0,210.4,10.4,15,11.115145748438051,9.320091235935301,10.921524074813478,103.25576111311898,38.655761113118984
15,74453.0,12002,8.0,44758.1,6.2,21.31282395110756,51.0,85.0,1.9294189257142929,10002,236.2,193.5,8.3,16,11.217923332800648,9.392828581549459,10.709027712910059,89.55063085610956,54.550630856109564
16,50673.0,5217,10.0,28327.7,8.63,21.31282395110756,9.0,81.8,1.9127533036713233,10002,145.9,115.8,7.8,105,10.833148503348454,8.559677803022392,10.251595403506913,105.1617689660311,73.36176896603111
18,1025341.0,293600,21.0,796670.4,3.49,21.31282395110756,79.0,101.6,2.006893707947901,10002,4258.0,2371.1,7.8,57,13.84053579815478,12.589973575722498,13.588196321421073,121.11527792674244,69.51527792674244
19,1054290.0,211025,20.0,108659.3,5.0,21.31282395110756,69.0,61.7,1.7902851640332418,10002,577.1,4274.8,14.9,57,13.86837811255373,12.25973188885192,11.59597257797175,72.15002468260514,60.45002468260513
21,216200.0,60175,6.0,6549.0,3.59,21.31282395110756,13.0,116.1,2.064832219738574,10002,1545.1,340.2,5.3,88,12.283959184187244,11.005012262651272,8.787067645218054,93.92231278642726,27.82231278642726
22,299510.0,92400,12.0,197794.3,3.24,21.31282395110756,41.0,98.0,1.9912260756924949,10002,1173.9,525.7,6.6,68,12.609903084961877,11.433882257629776,12.194982880768675,96.55158565414943,48.551585654149434
23,532006.0,129224,12.0,397825.4,4.12,21.31282395110756,83.0,93.1,1.9689496809813425,10002,2359.6,801.9,4.9,68,13.184410046455671,11.769302611593593,12.893768494545107,96.4465239099203,53.34652390992031
28,121800.0,17400,7.0,59225.4,7.0,21.31282395110756,83.0,82.1,1.9143431571194407,10002,311.3,67.6,2.9,25,11.710135634257934,9.764225485202621,10.98910578290878,62.34197086485119,30.241970864851197
29,99911.0,20000,5.0,59692.8,5.0,21.31282395110756,46.0,64.2,1.8075350280688531,10002,307.4,158.4,4.5,111,11.512035068685082,9.903487552536127,10.99696668909249,88.91244838338224,74.71244838338224
31,170100.0,66919,6.0,99713.4,2.54,21.31282395110756,86.0,63.7,1.8041394323353503,10002,526.2,266.2,4.5,34,12.044141778383953,11.11123821177333,11.510055350128257,77.05931858104874,63.35931858104874
32,98000.0,15269,12.0,65241.7,6.42,21.31282395110756,59.0,98.2,1.9921114877869497,10002,336.9,338.5,11.0,7,11.49272275765271,9.633579908183512,11.085854114028809,99.78670902338907,51.58670902338906
33,68396.0,10500,8.0,17174.6,5.0,21.31282395110756,92.0,51.8,1.7143297597452332,10002,91.8,110.3,6.3,67,11.133069622368483,9.259130536145614,9.75118682715413,87.54560405410062,85.74560405410062
34,126660.0,33650,13.0,13567.6,3.76,21.31282395110756,1.0,133.1,2.124178055474675,10002,606.1,697.1,19.2,28,11.749261610070421,10.423768335072873,9.515439876465031,139.6463590147588,56.54635901475879
35,209499.0,26135,23.0,112179.4,8.02,21.31282395110756,9.0,95.2,1.9786369483844743,10002,578.5,754.3,12.5,10,12.252474245063247,10.171030691147022,11.627854654501046,103.84639511560337,58.64639511560337
36,65869.0,15000,12.0,27825.2,4.13,21.31282395110756,66.0,94.9,1.9772662124272928,10002,144.5,236.6,14.2,17,11.095423200101555,9.615805480084347,10.233697363898687,120.23733446647067,75.33733446647067
